Customer ID,Name,Gender,Age,Email Address,Dietary Preferences,Food Allergies,Health Condition,Disliked Foods,Cooking Skill Level,Budget Range,Common Ingredients,Last Active Time,cannot_eat,Household Size
51ba8ff9-9bb5-4647-8921-4a128e4ab715,Lisa Brady,Male,74,ryan36@example.net,西式,無,無,"['洋蔥', '花椰菜']",Intermediate,Medium,Rice,2024-04-15 20:19:52,無,
58a7f9a7-a67f-4399-8365-506c3f643503,Molly Schultz,Female,62,jonathon84@example.net,西式,芹菜,無,"['綠竹筍', '秋葵', '貝類']",Beginner,Medium,Eggs,2022-07-17 19:39:05,無,
a916cb73-c830-4717-be20-68254418cb8e,Joseph Herrera,Male,70,mcintoshrobert@example.org,韓式,魚,無,"['馬鈴薯', '蒜頭', '瓜果', '青椒', '栗子', '紅豆']",Beginner,Medium,Chicken,2023-02-13 09:11:57,無,
4b5595fc-32ae-4dbe-8c0c-bd46cb973f99,Julie Smith,Male,46,edward77@example.net,西式,牛奶,無,"['貝類', '根莖', '透抽', '烏魚子']",Expert,Medium,Rice,2022-07-19 17:36:02,無,
4e2172d4-a8e5-4a43-89ec-6ee727eae0df,Robin Ochoa,Male,56,christinanguyen@example.org,歐式,芥末,無,"['海鮮', '水蓮']",Intermediate,High,Chicken,2022-09-30 22:02:13,無,
d9f5fce9-29a7-440f-a296-b9e90d164535,Michael Gay,Male,49,mmitchell@example.org,韓式,大豆,無,"['馬鈴薯', '紅蔥頭', '金針菇', '小黃瓜', '木耳']",Expert,Medium,Rice,2023-03-12 08:29:40,無,
7c27cb2d-1eb9-43b2-8c13-983efb559a77,Crystal Fields,Male,52,xanderson@example.com,東南亞式,牛奶,無,"['山藥', '桂竹筍', '韭菜']",Intermediate,High,Chicken,2022-11-17 21:02:48,無,
866a37be-8f31-4498-accd-7c38824dca57,John Campbell,Male,69,robert15@example.net,歐式,無,無,"['抱子芥菜', '烏魚', '地瓜', '菱角', '苦瓜', '花白菜']",Intermediate,High,Rice,2023-12-06 12:38:54,無,
45d53d00-4d24-49e3-9b55-a806a9e029f8,Tammy Ramirez,Female,61,youngtammy@example.org,東南亞式,魚,無,['蛋'],Intermediate,Medium,Eggs,2022-12-04 22:10:44,無,
499bcefb-1daf-4e18-809f-cb1a6eda7caa,Kelly Graham,Male,56,jonathan81@example.com,日式,花生,無,"['菇類', '洋蔥', '茄子', '茭白筍', '皇宮菜']",Expert,High,Eggs,2023-08-14 16:13:43,無,
