Vendor ID,Name,Gender,Age,Phone Number,Email Address,Area,Start Time,End Time,Daily Income,Sales Type,Top Selling Products,Product Source,Registration Date,Last Active Time,Rating
9468e32d-5eab-4eb0-9b20-32f1cf1cf864,Robert Allen,Other,53,(926)654-1469x288,joann67@example.org,Port Julie,18:25:19,20:12:54,150.13,Cash,Herbs,Imported,2019-06-07,2024-04-13 00:37:13,1
828796d4-2e09-47d2-8184-e9098284feba,David Harris,Female,19,517-772-6651x3335,david53@example.com,East Dennis,07:18:09,07:28:37,278.74,Mobile Payment,Organic Produce,Local Farm,2022-04-10,2024-04-14 00:27:17,3
f47011d7-deba-4f4e-8ae3-2bc549254e0f,David Wells,Female,20,+1-920-466-7606x0383,nathan14@example.org,Richardfort,13:06:47,21:03:28,206.77,Cash,Fruits,Imported,2023-04-08,2024-04-21 17:52:18,2
92f7ab6f-aa4b-482b-aafb-1bca7e8c5aa0,Gregory Barnes,Other,48,(273)692-9466x7572,qmedina@example.net,Mortonberg,07:58:30,09:52:33,348.32,Cash,Herbs,Local Farm,2020-01-14,2024-04-09 06:28:32,5
1f3661bc-2913-4241-b94a-a5bf3aa9d7ff,Jerry Marquez,Female,48,465.325.2781x6290,william01@example.com,Rayshire,14:05:29,10:15:46,388.71,Mobile Payment,Herbs,Local Farm,2023-11-06,2024-04-15 09:45:55,1
21eb1258-e561-4abe-8830-da3209c9c838,James Smith,Female,54,+1-296-453-5177x561,mooremarcus@example.net,West Annborough,05:57:20,21:05:15,449.22,Cash,Fruits,Imported,2021-01-08,2024-04-12 04:06:14,4
7bc4fb3e-8d67-4cbd-baaf-44d54368e2b7,Hunter Johnson,Male,41,+1-388-675-8228x45635,nataliecobb@example.net,Michaelbury,19:02:53,20:15:03,258.28,Credit Card,Organic Produce,Wholesale Market,2022-10-18,2024-04-05 20:40:41,2
1fee3ed8-a8d6-4b70-ba16-fc344b899cba,Frederick Whitaker,Female,49,(202)527-0711,john92@example.com,Johnburgh,11:01:11,08:01:08,434.08,Mobile Payment,Organic Produce,Imported,2020-06-10,2024-04-13 20:05:01,2
d513f7ff-0e45-431a-947b-66e3427e9d1a,Carolyn Evans,Other,43,+1-698-265-5850x6306,knightmatthew@example.net,Angelafurt,08:25:54,19:39:19,78.94,Credit Card,Fruits,Imported,2022-10-12,2024-04-01 14:24:46,1
02586e71-85ce-4bcc-9f98-da6bd741ce73,Joseph Sanders,Male,34,692.860.8045x3503,osbornebrian@example.org,Amberfort,08:05:51,17:07:37,212.22,Cash,Vegetables,Wholesale Market,2020-09-01,2024-04-14 08:32:48,5
3b4011e2-f4a2-4d67-9219-127751286d58,Ernest Garrison,Female,58,566.444.8097x118,sabrinamarks@example.com,East Timothybury,18:52:53,01:53:18,191.28,Cash,Fruits,Wholesale Market,2021-08-29,2024-04-16 23:23:07,4
1096af57-e615-42c2-8745-88476ce94bf3,Debra Smith,Male,44,575-694-4962x37042,jessicaallen@example.net,Brandonchester,03:37:36,09:29:04,466.92,Credit Card,Fruits,Local Farm,2020-07-23,2024-04-24 21:43:49,3
7d68efd0-c584-4e1e-bc39-b8381e68b042,Chase Carter,Male,57,(443)868-2078,ashleyevans@example.net,Nathanchester,06:16:14,02:23:32,277.9,Credit Card,Herbs,Imported,2021-08-19,2024-04-20 08:05:26,2
